id_jur,nm_jur,nm_intl_jur,u_sma,u_smk,u_pt,u_slb,id_jenj_didik,id_induk_jurusan,id_kel_bidang
"21605     ","Teknik Pendingin",NULL,0,0,1,0,20,NULL,12
"21612     ",Mekatronika,NULL,0,0,1,0,20,NULL,12
"21613     ","Teknik Alat Berat Kampus Kota Bontang",NULL,0,0,1,0,20,NULL,12
"22001     ","Ilmu Teknik Sipil",NULL,0,0,1,0,40,NULL,12
"22101     ","Teknik Sipil",NULL,0,0,1,0,35,NULL,12
"22102     ","Sistem Dan Teknik Jalan Raya",NULL,0,0,1,0,35,NULL,12
"22103     ","Pengelolaan Sumberdaya Air",NULL,0,0,1,0,35,NULL,12
"22104     ","Rekayasa Infrastruktur Lingkungan",NULL,0,0,1,0,30,NULL,12
"22113     ","Pengelolaan Infrastruktur dan Pembangunan Masyarakat",NULL,0,0,1,0,35,NULL,12
"22201     ","Teknik Sipil",NULL,0,0,1,0,30,NULL,12
"22202     ","Teknik Pengairan",NULL,0,0,1,0,30,NULL,12
"22203     ","Rekayasa Infrastruktur",NULL,0,0,1,0,35,NULL,12
"22301     ","Perancangan Jalan dan Jembatan",NULL,0,0,1,0,23,NULL,12
"22302     ","Jasa Konstruksi",NULL,0,0,1,0,23,NULL,12
"22303     ","Konstruksi Bangunan",NULL,0,0,1,0,23,NULL,12
"22304     ","Teknik Bangunan Rawa",NULL,0,0,1,0,23,NULL,12
"22313     ","Pengelolaan dan Perawatan Infrastruktur Sipil",NULL,0,0,1,0,23,NULL,12
"22401     ","Teknik Sipil",NULL,0,0,1,0,22,NULL,12
"22402     ","Konstruksi Sipil",NULL,0,0,1,0,22,NULL,12
"22403     ","Bangunan Gedung",NULL,0,0,1,0,22,NULL,12
"22404     ","Teknik Sipil Bangunan Air",NULL,0,0,1,0,22,NULL,12
"22405     ","Teknik Sipil Bangunan Transportasi",NULL,0,0,1,0,22,NULL,12
"22406     ","Teknik Jalan Raya",NULL,0,0,1,0,22,NULL,12
"22407     ","Teknik Kereta Api",NULL,0,0,1,0,22,NULL,12
"22408     ","Teknik Sipil PDD1",NULL,0,0,1,0,22,NULL,12
"22501     ","Teknik Sipil K. Aceh Barat",NULL,0,0,1,0,21,NULL,12
"22503     ","Konstruksi Gedung",NULL,0,0,1,0,21,NULL,12
"22571     ","Teknik Sipil Luar Domisili",NULL,0,0,1,0,21,NULL,12
"22603     ","Konstruksi Bangunan",NULL,0,0,1,0,20,NULL,12
"23001     ",Arsitektur,NULL,0,0,1,0,40,NULL,12
"23101     ",Arsitektur,NULL,0,0,1,0,35,NULL,12
"23201     ",Arsitektur,NULL,0,0,1,0,30,NULL,12
"23401     ",Arsitektur,NULL,0,0,1,0,22,NULL,12
"23601     ",Arsitektur,NULL,0,0,1,0,20,NULL,12
"23901     ","Profesi Arsitek",NULL,0,0,1,0,25,NULL,12
"24001     ","Ilmu Teknik Kimia",NULL,0,0,1,0,40,NULL,12
"24101     ","Teknik Kimia",NULL,0,0,1,0,35,NULL,12
"24201     ","Teknik Kimia",NULL,0,0,1,0,30,NULL,12
"24301     ","Teknik Kimia Produksi Bersih",NULL,0,0,1,0,23,NULL,12
"24302     ","Teknik Tekstil",NULL,0,0,1,0,23,NULL,12
"24303     ","Kimia Analisis",NULL,0,0,1,0,22,NULL,12
"24304     ","Kimia Tekstil",NULL,0,0,1,0,23,NULL,12
"24305     ","Teknologi Kimia Industri",NULL,0,0,1,0,23,NULL,12
"24401     ","Teknik Kimia",NULL,0,0,1,0,22,NULL,12
"24402     ","Analis Kimia",NULL,0,0,1,0,22,NULL,12
"24403     ","Petro Dan Oleo Kimia",NULL,0,0,1,0,22,NULL,12
"24404     ","Kimia Tekstil",NULL,0,0,1,0,22,NULL,12
"24501     ","Teknologi Kimia Industri Kampus Kabupaten Nagekeo",NULL,0,0,1,0,21,NULL,12
"24603     ","Petro dan Oleo Kimia Kampus Kota Bontang",NULL,0,0,1,0,20,NULL,12
"24604     ","Teknik Tekstil",NULL,0,0,1,0,20,NULL,12
"24605     ","Pertro Oleo Kimia",NULL,0,0,1,0,21,NULL,12
"25001     ","Teknik Lingkungan",NULL,0,0,1,0,40,NULL,12
"25101     ","Lingkungan Dan Perkotaan",NULL,0,0,1,0,35,NULL,12
